isi,prime,target,condition,meanRT
1050,wipe,ass,weak,513.1
50,clog,ass,unrel_strong,544.5
1050,clog,ass,unrel_strong,595.4
50,cross,ass,unrel_weak,563.6
1050,cross,ass,unrel_weak,562.5
50,helper,assistant,strong,519.9
1050,helper,assistant,strong,618.6
50,deputy,assistant,weak,582.8
1050,deputy,assistant,weak,592.6
50,tease,assistant,unrel_strong,615.8
1050,tease,assistant,unrel_strong,645.6
50,obscure,assistant,unrel_weak,604.9
1050,obscure,assistant,unrel_weak,554.4
50,presume,assume,strong,527.8
1050,presume,assume,strong,497.0
50,suppose,assume,weak,606.8
1050,suppose,assume,weak,510.8
50,grandpa,assume,unrel_strong,558.1
1050,grandpa,assume,unrel_strong,519.0
50,sweater,assume,unrel_weak,609.2
1050,sweater,assume,unrel_weak,572.8
50,neutron,atom,strong,567.0
1050,neutron,atom,strong,551.1
50,carbon,atom,weak,542.0
1050,carbon,atom,weak,507.4
50,tree,atom,unrel_strong,563.6
1050,tree,atom,unrel_strong,586.6
50,furry,atom,unrel_weak,589.2
1050,furry,atom,unrel_weak,578.8
50,try,attempt,strong,542.8
1050,try,attempt,strong,500.0
50,feeble,attempt,weak,520.2
1050,feeble,attempt,weak,531.1
50,outlet,attempt,unrel_strong,579.4
1050,outlet,attempt,unrel_strong,493.1
50,intoxicate,attempt,unrel_weak,609.8
1050,intoxicate,attempt,unrel_weak,540.1
50,basement,attic,strong,518.3
1050,basement,attic,strong,474.4
50,cellar,attic,weak,532.8
1050,cellar,attic,weak,685.4
50,lingerie,attic,unrel_strong,571.4
1050,lingerie,attic,unrel_strong,582.6
50,scheme,attic,unrel_weak,600.4
1050,scheme,attic,unrel_weak,543.9
50,relative,aunt,strong,530.5
1050,relative,aunt,strong,561.6
50,grace,aunt,weak,522.0
1050,grace,aunt,weak,569.9
50,sapphire,aunt,unrel_strong,576.2
1050,sapphire,aunt,unrel_strong,540.5
50,woods,aunt,unrel_weak,535.9
1050,woods,aunt,unrel_weak,583.4
50,kangaroo,australia,strong,585.5
1050,kangaroo,australia,strong,568.4
50,under,australia,weak,634.8
1050,under,australia,weak,559.7
50,abduct,australia,unrel_strong,555.7
1050,abduct,australia,unrel_strong,591.6
50,starch,australia,unrel_weak,591.6
1050,starch,australia,unrel_weak,538.5
50,car,auto,strong,479.9
1050,car,auto,strong,560.5
50,motor,auto,weak,522.0
1050,motor,auto,weak,470.9
50,inferior,auto,unrel_strong,586.1
1050,inferior,auto,unrel_strong,573.9
50,cheap,auto,unrel_weak,530.9
1050,cheap,auto,unrel_weak,524.3
50,norm,average,strong,541.0
1050,norm,average,strong,523.8
50,estimate,average,weak,521.1
1050,estimate,average,weak,569.1
50,mars,average,unrel_strong,487.9
1050,mars,average,unrel_strong,624.2
50,image,average,unrel_weak,533.2
1050,image,average,unrel_weak,546.0
50,asleep,awake,strong,523.2
1050,asleep,awake,strong,520.5
50,conscience,awake,weak,608.9
1050,conscience,awake,weak,512.2
50,detail,awake,unrel_strong,526.0
1050,detail,awake,unrel_strong,510.1
50,antelope,awake,unrel_weak,559.9
1050,antelope,awake,unrel_weak,491.5
50,merit,award,strong,535.8
1050,merit,award,strong,511.3
50,medal,award,weak,583.7
1050,medal,award,weak,513.7
50,container,award,unrel_strong,529.1
1050,container,award,unrel_strong,529.6
50,canvas,award,unrel_weak,511.9
1050,canvas,award,unrel_weak,515.3
50,unaware,aware,strong,540.5
1050,unaware,aware,strong,543.3
50,conscious,aware,weak,511.4
1050,conscious,aware,weak,528.9
50,plaything,aware,unrel_strong,511.4
1050,plaything,aware,unrel_strong,600.9
50,asteroid,aware,unrel_weak,526.8
1050,asteroid,aware,unrel_weak,491.7
50,further,away,strong,527.0
1050,further,away,strong,574.1
50,put,away,weak,526.5
1050,put,away,weak,467.2
50,language,away,unrel_strong,542.3
1050,language,away,unrel_strong,497.0
50,overview,away,unrel_weak,561.7
1050,overview,away,unrel_weak,498.8
50,hatchet,ax,strong,511.6
1050,hatchet,ax,strong,505.4
50,chop,ax,weak,564.1
1050,chop,ax,weak,466.5
50,admission,ax,unrel_strong,529.7
1050,admission,ax,unrel_strong,565.7
50,often,ax,unrel_weak,516.6
1050,often,ax,unrel_weak,542.5
50,child,baby,strong,491.9
1050,child,baby,strong,479.0
50,kidnap,baby,weak,538.1
1050,kidnap,baby,weak,479.6
50,where,baby,unrel_strong,474.6
1050,where,baby,unrel_strong,472.8
50,inside,baby,unrel_weak,495.2
1050,inside,baby,unrel_weak,478.9
50,retreat,back,strong,482.7
1050,retreat,back,strong,553.0
50,strain,back,weak,477.4
1050,strain,back,weak,554.2
50,contest,back,unrel_strong,521.0
1050,contest,back,unrel_strong,502.3
50,teenager,back,unrel_weak,498.5
1050,teenager,back,unrel_weak,526.2
50,forward,backward,strong,531.4
1050,forward,backward,strong,511.3
50,bend,backward,weak,521.3
1050,bend,backward,weak,539.3
50,parched,backward,unrel_strong,547.0
1050,parched,backward,unrel_strong,558.4
50,object,backward,unrel_weak,580.0
1050,object,backward,unrel_weak,547.7
50,eggs,bacon,strong,506.2
1050,eggs,bacon,strong,465.2
50,pork,bacon,weak,495.2
1050,pork,bacon,weak,485.9
50,appliance,bacon,unrel_strong,572.4
1050,appliance,bacon,unrel_strong,593.2
50,meteorite,bacon,unrel_weak,581.3
1050,meteorite,bacon,unrel_weak,574.3
50,sack,bag,strong,490.0
1050,sack,bag,strong,494.7
50,grab,bag,weak,552.0
1050,grab,bag,weak,519.8
50,chaos,bag,unrel_strong,532.3
1050,chaos,bag,unrel_strong,532.1
50,account,bag,unrel_weak,540.8
1050,account,bag,unrel_weak,560.9
50,broil,bake,strong,480.1
1050,broil,bake,strong,526.7
50,cake,bake,weak,540.5
1050,cake,bake,weak,514.2
50,station,bake,unrel_strong,588.0
1050,station,bake,unrel_strong,531.5
50,south,bake,unrel_weak,518.9
1050,south,bake,unrel_weak,511.6
50,bowling,ball,strong,502.6
1050,bowling,ball,strong,546.0
50,catch,ball,weak,508.3
1050,catch,ball,weak,518.9
50,surroundings,ball,unrel_strong,557.4
1050,surroundings,ball,unrel_strong,498.0
50,crunch,ball,unrel_weak,537.8
1050,crunch,ball,unrel_weak,555.2
50,tutu,ballet,strong,564.9
1050,tutu,ballet,strong,589.6
50,jazz,ballet,weak,539.8
1050,jazz,ballet,weak,611.4
50,relative,ballet,unrel_strong,587.5
1050,relative,ballet,unrel_strong,685.1
50,officer,ballet,unrel_weak,554.4
1050,officer,ballet,unrel_weak,575.3
50,helium,balloon,strong,591.0
1050,helium,balloon,strong,595.1
50,inflation,balloon,weak,640.9
1050,inflation,balloon,weak,505.3
50,defend,balloon,unrel_strong,596.3
1050,defend,balloon,unrel_strong,528.8
50,history,balloon,unrel_weak,503.7
1050,history,balloon,unrel_weak,537.3
50,rubber,band,strong,515.6
1050,rubber,band,strong,500.1
50,trombone,band,weak,534.7
1050,trombone,band,weak,511.8
50,shears,band,unrel_strong,558.0
1050,shears,band,unrel_strong,506.4
50,snake,band,unrel_weak,504.9
1050,snake,band,unrel_weak,529.3
50,teller,bank,strong,519.3
1050,teller,bank,strong,519.7
50,banker,bank,weak,539.3
1050,banker,bank,weak,519.8
50,women,bank,unrel_strong,546.8
1050,women,bank,unrel_strong,533.7
50,adjective,bank,unrel_weak,536.1
1050,adjective,bank,unrel_weak,455.3
50,saloon,bar,strong,510.2
1050,saloon,bar,strong,500.3
50,restaurant,bar,weak,518.1
1050,restaurant,bar,weak,526.9
50,swiss,bar,unrel_strong,496.4
1050,swiss,bar,unrel_strong,529.7
50,swift,bar,unrel_weak,594.7
1050,swift,bar,unrel_weak,554.1
50,sale,bargain,strong,556.1
1050,sale,bargain,strong,524.0
50,value,bargain,weak,558.9
1050,value,bargain,weak,499.5
50,cobweb,bargain,unrel_strong,613.1
1050,cobweb,bargain,unrel_strong,560.0
50,fray,bargain,unrel_weak,561.1
1050,fray,bargain,unrel_weak,661.8
50,foundation,base,strong,498.2
1050,foundation,base,strong,603.1
50,data,base,weak,537.3
1050,data,base,weak,509.3
50,volcano,base,unrel_strong,525.1
1050,volcano,base,unrel_strong,564.1
50,scream,base,unrel_weak,523.1
1050,scream,base,unrel_weak,527.7
50,catcher,baseball,strong,541.9
1050,catcher,baseball,strong,550.9
50,team,baseball,weak,511.4
1050,team,baseball,weak,476.2
50,burglary,baseball,unrel_strong,554.9
1050,burglary,baseball,unrel_strong,589.6
50,odd,baseball,unrel_weak,523.4
1050,odd,baseball,unrel_weak,538.6
50,instinct,basic,strong,520.3
1050,instinct,basic,strong,494.5
50,extinct,basic,weak,539.3
1050,extinct,basic,weak,557.3
50,remain,basic,unrel_strong,534.3
